,Longitude,Latitude,Has Table booking,Has Online delivery,Price range,Votes,Aggregate rating
124,-82.0698,33.4791,No,No,3,548,4.9
125,-81.97,33.4765,No,No,2,631,4.5
126,-81.9684,33.474,No,No,1,372,3.9
127,-81.973006,33.477444,No,No,2,201,3.9
128,-81.965571,33.481779,No,No,3,332,3.8
129,-82.0327,33.4086,No,No,2,304,3.5
130,-81.974944,33.478231,No,No,3,368,4.3
131,-82.096,33.4827,No,No,2,430,4.1
132,-81.9721,33.4778,No,No,2,433,4.4
133,-81.9694,33.4764,No,No,1,380,4.0
134,-82.0505,33.5133,No,No,2,456,4.0
135,-82.0301,33.4848,No,No,3,647,4.2
136,-82.080788,33.467201,No,No,3,360,4.0
137,-82.0805493,33.5375868,No,No,2,227,4.0
138,-82.143793,33.544342,No,No,2,290,3.9
139,-82.126161,33.532249,No,No,1,270,4.1
140,-82.141284,33.521291,No,No,2,326,4.0
141,-82.1328,33.5406,No,No,3,317,4.3
142,-82.1997,33.4574,No,No,1,300,4.2
143,115.9844924,-33.7845269,No,No,2,21,3.2
144,146.685852,-36.360439,No,No,2,237,4.6
145,-116.2019,43.6138,No,No,2,879,4.5
146,-116.203466,43.616068,No,No,2,615,4.6
147,-116.2023,43.6149,No,No,2,879,4.5
148,-116.2064,43.6157,No,No,4,379,3.9
149,-116.2031,43.614,No,No,1,303,4.3
150,-116.185034,43.597235,No,No,4,538,4.1
151,-116.2062,43.5945,No,No,1,334,4.2
152,-116.2022,43.6167,No,No,2,555,4.3
153,-116.193409,43.610279,No,No,1,823,4.4
154,-116.2625,43.6192,No,No,2,550,4.1
155,-116.202845,43.616295,No,No,2,650,4.4
156,-116.199,43.615,No,No,1,410,4.3
157,-116.2463,43.6191,No,No,1,660,4.4
158,-116.245165,43.6051379,No,No,2,360,4.4
159,-116.2021,43.6162,No,No,3,340,4.0
160,-116.2031,43.6156,No,No,2,393,4.1
161,-116.281809,43.619274,No,No,1,422,4.3
162,-116.280614,43.591706,No,No,3,435,4.0
163,-116.347304,43.619108,No,No,2,369,4.0
164,-116.5629,43.5777,No,No,3,487,4.4
165,-91.6336,42.0179,No,No,3,98,3.7
166,-91.6327,42.0281,No,No,3,365,4.1
167,-91.7148,41.9748,No,No,1,190,4.1
168,-91.6224,42.0249,No,No,3,429,4.1
169,-91.6347,42.01,No,No,2,430,4.4
170,-91.6499622,42.0215347,No,No,2,186,4.2
171,-91.7266,41.9639,No,No,1,220,4.2
172,-91.6394,42.0468,No,No,1,347,4.2
173,-91.569767,41.670466,No,No,2,161,3.8
174,-91.5687,41.6685,No,No,2,160,4.1
175,-91.534424,41.660982,No,No,1,820,4.9
176,-91.531414,41.663849,No,No,1,488,4.5
177,-91.531093,41.663751,No,No,2,253,3.6
178,-91.534302,41.658691,No,No,3,220,3.8
179,-91.5314,41.6648,No,No,2,485,4.3
180,-91.5341,41.661,No,No,3,428,4.3
181,-91.482165,41.667742,No,No,2,294,4.1
182,-91.5318,41.6625,No,No,3,380,4.0
183,-91.5074,41.6428,No,No,2,259,4.2
184,-91.5995,42.0331,No,No,2,433,4.7
185,-82.188438,42.397683,No,No,2,176,3.7
186,-123.368151,46.126967,No,No,1,96,4.3
187,-114.472474,51.183934,No,No,2,6,3.1
188,-84.992671,32.470315,No,No,1,33,3.3
189,-84.95591,32.519247,No,No,2,489,4.6
190,-84.927047,32.555591,No,No,2,345,4.5
191,-84.9436,32.5577,No,No,2,149,3.8
192,-84.9936,32.4656,No,No,2,330,3.9
193,-84.954984,32.5382197,No,No,3,247,3.9
194,-84.9876,32.4637,No,No,1,123,3.7
195,-84.9933631,32.4652417,No,No,3,109,3.6
196,-84.96661,32.534002,No,No,3,134,3.7
197,-84.95367,32.513154,No,No,3,722,4.2
198,-84.947569,32.504657,No,No,2,213,4.3
199,-84.9607,32.5393,No,No,2,335,4.0
200,-84.9464,32.4792,No,No,2,353,4.0
201,-84.9427,32.481,No,No,1,170,4.0
202,-84.9557,32.5321,No,No,2,192,4.1
203,-84.992093,32.466158,No,No,3,302,4.1
204,-84.938698,32.560905,No,No,1,355,4.2
205,-84.991384,32.468757,No,No,2,287,4.3
206,-84.963201,32.527217,No,No,3,264,4.0
207,-85.0213,32.7455,No,No,3,235,4.4
208,-110.7746994,52.0082889,No,No,2,6,3.0
209,-84.9396931,34.5251331,No,No,2,38,3.7
210,-84.926258,34.474635,No,No,1,122,4.4
211,-84.9523921,34.4972488,No,No,2,207,4.4
212,-84.767911,34.752476,No,No,1,66,3.9
213,-84.969393,34.769686,No,No,1,249,4.9
214,-85.0039,34.7643,No,No,2,63,3.8
215,-84.992342,34.759551,No,No,3,145,3.8
216,-84.992924,34.759665,No,No,1,83,3.8
217,-84.999678,34.758645,No,No,2,116,3.7
218,-84.9678,34.7742,No,No,1,122,4.1
219,-84.990925,34.759273,No,No,1,142,4.1
220,-84.9964,34.7604,No,No,1,114,4.1
221,-85.2229101,34.9428786,No,No,2,214,4.6
222,-85.246237,34.9528157,No,No,1,116,4.3
223,-85.2545,34.9546,No,No,2,111,4.2
224,-85.294955,34.705093,No,No,1,25,3.7
225,-85.1321,34.9273,No,No,1,128,4.1
226,-85.130492,34.912109,No,No,1,244,4.3
227,-85.1079396,34.9151853,No,No,1,112,4.2
228,-85.249727,34.851907,No,No,1,144,4.1
229,-90.496986,41.574935,No,No,2,166,4.6
230,-90.522479,41.53845,No,No,3,208,4.5
231,-90.4912446,41.5747801,No,No,2,136,3.9
232,-90.504176,41.548746,No,No,1,85,4.0
233,-90.50709,41.525384,No,No,2,117,4.1
234,-90.574088,41.593892,No,No,2,53,3.4
235,-90.565837,41.574459,No,No,2,474,4.9
236,-90.5716,41.5604,No,No,1,125,3.9
237,-90.5737,41.5223,No,No,4,201,3.7
238,-90.59466452,41.52253634,No,No,2,2,0.0
239,-90.5154313,41.5709434,No,No,2,3,0.0
240,-90.5683,41.5699,No,No,1,167,4.3
241,-90.5321,41.5749,No,No,2,112,4.0
242,-90.5432,41.5747,No,No,2,256,4.1
243,-90.572418,41.520389,No,No,1,123,4.3
244,-90.5137,41.5745,No,No,2,199,4.0
245,-90.5686,41.559,No,No,2,157,4.1
246,-90.6136,41.5944,No,No,2,100,4.1
247,-90.515175,41.570997,No,No,3,141,4.2
248,-90.517,41.5747,No,No,2,197,4.2
249,-93.610084,42.010254,No,No,2,1025,4.5
250,-93.643094,42.048779,No,No,2,570,4.9
251,-93.677638,41.614965,No,No,3,674,4.5
252,-93.739573,41.600564,No,No,2,496,4.1
253,-93.760027,41.60028,No,No,2,411,4.0
254,-93.627896,41.583309,No,No,2,113,3.2
255,-93.6300803,41.5857431,No,No,3,1109,4.5
256,-93.621631,41.585465,No,No,2,728,4.6
257,-93.637401,41.587219,No,No,1,659,4.4
258,-93.620726,41.58536,No,No,3,370,4.2
259,-93.629436,41.584027,No,No,3,532,4.3
260,-93.611366,41.590819,No,No,2,860,4.8
261,-93.61474,41.590106,No,No,1,943,4.2
262,-93.577383,41.601415,No,No,4,476,4.1
263,-93.645245,41.545869,No,No,1,218,4.1
264,-93.6976773,41.6714654,No,No,1,214,4.0
265,-93.659797,41.603901,No,No,2,699,4.3
266,-93.772033,41.615083,No,No,2,308,3.8
267,-93.73624,41.594039,No,No,2,157,4.0
268,-93.7441981,41.5991771,No,No,3,530,4.2
269,153.137401,-26.783576,No,No,1,29,3.6
270,-90.667668,42.504759,No,No,1,33,3.4
271,-90.6499328,42.5124724,No,No,2,40,3.3
272,-90.6684746,42.5032004,No,No,1,153,3.4
273,-90.658609,42.496464,No,No,2,65,3.3
274,-90.664029,42.495689,No,No,2,58,3.4
275,-90.715247,42.492018,No,No,2,100,3.5
276,-90.740213,42.49092,No,No,1,156,3.6
277,-90.7264,42.4955,No,No,1,74,3.5
278,-90.645294,42.516621,No,No,2,117,3.6
279,-90.712084,42.492963,No,No,3,83,3.7
280,-90.6646,42.5043,No,No,2,48,3.6
281,-90.668164,42.503075,No,No,3,198,3.8
282,-90.7055,42.4916,No,No,1,126,3.5
283,-90.6677349,42.500191,No,No,1,119,3.5
284,-90.6691,42.5048,No,No,2,140,3.6
285,-90.6651,42.4974,No,No,3,159,3.6
286,-90.6658,42.4963,No,No,2,131,3.6
287,-90.663686,42.4982789,No,No,1,60,3.5
288,-90.684882,42.527556,No,No,2,89,3.7
289,-90.658988,42.496378,No,No,4,72,3.6
290,153.593331,-28.862663,No,No,2,56,4.1
291,-119.252694,39.607515,No,No,1,83,3.7
292,152.8771473,-26.6521332,No,No,3,37,3.5
293,143.714315,-38.517292,No,No,2,29,3.7
294,-83.8461,34.0901,No,No,2,239,4.4
295,-83.520693,34.61802,No,No,1,235,4.1
296,-83.985353,34.532973,No,No,2,88,3.8
297,-83.9858,34.5318,No,No,3,209,3.9
298,-83.983939,34.533626,No,No,1,133,3.9
299,-83.989317,34.541044,No,No,1,267,4.4
300,-83.986119,34.533198,No,No,2,171,4.1
301,-83.938024,34.183573,No,No,2,107,3.8
302,-83.926217,34.185707,No,No,3,164,4.3
303,-83.927794,34.180043,No,No,1,182,4.1
304,-83.838457,34.285102,No,No,2,681,4.9
305,-83.857993,34.300182,No,No,1,357,4.6
306,-83.860098,34.222755,No,No,2,89,3.8
307,-83.824023,34.300567,No,No,2,350,4.2
308,-83.8272,34.3166,No,No,1,298,4.3
309,-83.82686,34.300332,No,No,2,319,4.2
310,-83.727741,34.701594,No,No,3,114,3.8
311,-83.7345,34.7024,No,No,1,136,3.9
312,-83.7334,34.7021,No,No,2,108,2.2
313,-83.713498,34.691208,No,No,1,161,4.0
314,144.1387014,-37.3123267,No,No,2,192,3.8
315,144.110062,-37.275494,No,No,1,93,3.8
316,150.6710743,-35.0388698,No,No,2,40,4.1
317,145.7287133,-38.6347458,No,No,1,100,3.7
318,147.9942247,-37.8783865,No,No,1,97,3.8
319,-120.3458,42.1885,No,No,1,41,3.6
320,-96.7072,40.8143,No,No,2,799,4.5
321,151.558475,-32.728097,No,No,2,18,3.6
322,144.564174,-37.423189,No,No,2,31,3.5
323,-83.594494,32.567741,No,No,2,146,3.9
324,-83.657061,32.853896,No,No,1,478,4.9
325,-83.6737,32.8496,No,No,2,467,4.6
326,-83.6766,32.8899,No,No,2,302,4.5
327,-83.6279,32.8361,No,No,2,289,4.5
328,-83.627979,32.83641,No,No,3,102,3.8
329,-83.713978,32.929278,No,No,3,293,4.1
330,-83.6276,32.8375,No,No,4,195,4.0
331,-83.628703,32.83654,No,No,1,244,4.3
332,-83.787993,32.928495,No,No,4,379,4.2
333,-83.6873,32.901,No,No,1,223,4.2
334,-83.662421,32.556873,No,No,2,243,3.7
335,-83.624,32.5786,No,No,2,104,3.7
336,-83.6665,32.6184,No,No,1,153,3.7
337,-83.691044,32.552684,No,No,2,323,3.8
338,-83.64935,32.594666,No,No,1,181,4.1
339,-83.636618,32.6176839,No,No,2,316,4.0
340,-83.600201,32.619321,No,No,2,288,4.2
341,-83.665557,32.593264,No,No,1,232,4.0
342,-83.7184,32.6147,No,No,3,314,4.1
343,151.7343832,-32.899178,No,No,2,11,2.9
344,-85.7363,46.3718,No,No,1,17,2.4
345,117.917166,-35.025861,No,No,3,176,3.8
346,-98.9891,44.5158,No,No,1,11,3.4
347,-89.653487,42.606306,No,No,2,65,3.6
348,152.893735,-26.690462,No,No,3,193,2.4
349,-106.057666,36.313638,No,No,3,30,3.6
350,-81.381077,28.540432,No,No,3,981,4.4
351,-81.585226,28.405437,No,No,3,1151,4.5
352,-81.514608,28.372858,No,No,3,1341,4.7
353,-81.517725,28.371338,No,No,4,782,4.3
354,-81.469986,28.440344,No,No,3,1293,4.6
355,-81.4510725,28.4676808,No,No,4,2324,4.6
356,-81.471526,28.437065,No,No,3,910,4.3
357,-81.471447,28.433235,No,No,4,886,4.4
358,-81.364347,28.560505,No,No,3,1293,4.6
359,-81.364547,28.557845,No,No,1,570,4.4
360,-81.487978,28.448175,No,No,4,1685,4.4
361,-81.266871,28.811653,No,No,3,1699,4.8
362,-81.351467,28.543571,No,No,2,1457,4.9
363,-81.522987,28.527592,No,No,3,1252,4.9
364,-81.322631,28.601088,No,No,2,1412,4.7
365,-81.357219,28.597366,No,No,2,432,3.6
366,-81.3508344,28.5976271,No,No,3,568,4.2
367,-81.352921,28.592857,No,No,2,797,4.4
368,-81.36526,28.596682,No,No,3,1158,4.4
369,-81.356024,28.593297,No,No,3,1998,4.4
370,145.670768,-16.748083,No,No,3,381,4.4
371,147.7227832,-37.9194154,No,No,4,16,2.6
372,140.837409,-37.379153,No,No,2,19,3.4
373,-86.8573393,30.4025979,No,No,2,635,4.2
374,-87.2027,30.4179,No,No,3,2238,4.9
375,-87.1819,30.4251,No,No,1,792,4.6
376,-87.2216,30.4982,No,No,1,828,4.5
377,-87.205855,30.417318,No,No,3,292,3.7
378,-87.213274,30.403034,No,No,2,502,3.9
379,-87.2150874,30.4116106,No,No,2,559,3.7
380,-87.2080932,30.4473322,No,No,2,1268,4.2
381,-87.2092,30.4101,No,No,3,669,4.1
382,-87.2153054,30.411878,No,No,3,900,4.4
383,-87.2252,30.4767,No,No,2,765,4.3
384,-87.211082,30.407358,No,No,3,1270,4.0
385,-87.214,30.4692,No,No,2,502,4.1
386,-87.143,30.3359,No,No,3,724,3.9
387,-87.142602,30.335521,No,No,3,479,3.5
388,-87.132932,30.334776,No,No,2,591,4.2
389,-87.164376,30.327864,No,No,3,1408,4.4
390,-87.149178,30.34262,No,No,3,905,4.3
391,-87.4218962,30.3199824,No,No,1,816,4.7
392,-87.427707,30.308468,No,No,3,747,4.4
393,145.237813,-38.448307,No,No,2,351,3.7
394,-112.3415,43.1903,No,No,1,104,3.7
395,-112.461326,42.910518,No,No,3,83,3.5
396,-112.0132,42.62,No,No,1,91,3.6
397,-112.0127,42.6192,No,No,1,59,3.6
398,-112.4423,42.8661,No,No,3,222,3.7
399,-112.4516,42.8919,No,No,3,121,3.6
400,-112.441,42.8928,No,No,1,93,3.5
401,-112.4397,42.8631,No,No,1,136,3.8
402,-112.4365,42.8604,No,No,1,160,3.8
403,-112.4524,42.8639,No,No,2,152,3.7
404,-112.459988,42.878077,No,No,1,57,3.5
405,-112.443213,42.860024,No,No,2,191,3.7
406,-112.432,42.9012,No,No,3,85,3.6
407,-112.4433,42.8942,No,No,1,108,3.6
408,-112.452013,42.88245,No,No,2,132,3.6
409,-112.45253,42.863969,No,No,2,141,3.8
410,-112.450106,42.861871,No,No,2,162,3.7
411,-112.4413856,42.8585987,No,No,3,144,3.6
412,-112.44853,42.891174,No,No,2,1,0.0
413,-112.4419,42.8774,No,No,1,365,4.1
414,-116.704731,32.613431,No,No,2,9,3.3
415,-74.651139,40.352385,No,No,4,542,4.0
416,-157.948486,21.677078,No,No,2,691,4.5
417,-155.997362,19.642752,No,No,3,764,4.7
418,-157.813432,21.284586,No,No,1,707,4.7
419,-156.455284,20.748838,No,No,3,487,4.5
420,-156.451847,20.731487,No,No,1,695,4.5
421,-156.4309473,20.6883746,No,No,3,485,4.2
422,-156.452556,20.733554,No,No,3,807,4.2
423,-156.674835,20.885226,No,No,1,723,4.6
424,-156.684967,20.886564,No,No,1,874,4.2
425,-156.667037,20.992316,No,No,2,552,4.4
426,-156.693821,20.921347,No,No,3,1056,4.3
427,-156.680666,20.876127,No,No,3,707,4.3
428,-156.366445,20.929622,No,No,4,1343,4.9
429,-157.825979,21.279476,No,No,1,602,4.9
430,-157.8312476,21.2794952,No,No,3,1078,4.6
431,-157.822716,21.271826,No,No,2,232,3.9
432,-157.827196,21.277583,No,No,4,1492,4.4
433,-157.831538,21.280663,No,No,1,535,4.0
434,-157.831176,21.279154,No,No,4,531,4.2
435,-157.836031,21.285396,No,No,2,694,4.2
436,-81.0954,32.0804,No,No,3,1201,3.3
437,-81.096647,32.052858,No,No,3,906,4.7
438,-81.0894,32.0785,No,No,1,880,4.6
439,-81.0955,32.0727,No,No,3,1014,4.5
440,-81.0911,32.0775,No,No,2,796,4.5
441,-81.0916,32.0809,No,No,2,747,3.7
442,-81.0844,32.0782,No,No,3,566,3.8
443,-81.0875,32.0798,No,No,2,683,4.1
444,-81.0979,32.0735,No,No,2,690,4.4
445,-81.0941,32.0801,No,No,1,680,4.2
446,-81.0905213,32.0794767,No,No,1,287,4.1
447,-81.0897,32.0812,No,No,3,802,4.1
448,-81.091482,32.074495,No,No,2,710,4.3
449,-81.097051,32.080742,No,No,1,456,4.3
450,-81.092484,32.081394,No,No,4,687,4.0
451,-81.0939,32.0747,No,No,2,719,4.3
452,-81.0897,32.0798,No,No,4,1803,4.4
453,-81.0908,32.0809,No,No,4,558,4.1
454,-80.865909,32.011689,No,No,3,883,3.8
455,-80.848297,31.99581,No,No,1,309,3.9
456,103.8600048,1.2826608,No,No,4,34,3.4
457,103.8594222,1.285476931,No,No,4,33,4.0
458,103.8403602,1.279419756,No,No,4,33,3.8
459,103.8416688,1.280502991,No,No,4,34,3.1
460,103.8536048,1.293220698,No,No,4,35,3.8
461,103.8430222,1.27944363,No,No,4,33,3.9
462,103.859422,1.300404333,No,No,2,29,4.2
463,103.8070809,1.331128397,No,No,4,35,4.1
464,103.8146178,1.29782554,No,No,3,29,3.2
465,103.8621195,1.310668316,No,No,4,30,3.2
466,103.8604162,1.311550709,No,No,3,33,3.7
467,103.8558665,1.289761964,No,No,3,25,3.0
468,103.859955,1.2905805,No,No,4,30,3.8
469,103.8601766,1.290800881,No,No,4,34,3.9
470,103.840921,1.278373182,No,No,4,33,3.1
471,103.8584296,1.301707168,No,No,4,32,3.2
472,103.839165,1.290083898,No,No,4,30,3.2
473,103.8581813,1.303034648,No,No,3,28,3.8
474,103.8482541,1.28197,No,No,3,35,3.9
475,103.8519943,1.299707726,No,No,4,33,3.2
476,-96.1608,42.7956,No,No,3,100,3.7
477,-96.379,42.4765,No,No,1,92,3.6
478,-96.4173,42.5026,No,No,1,182,3.8
479,-96.4051,42.492,No,No,1,76,3.6
480,-96.4046,42.4965,No,No,3,129,3.7
481,-96.3479,42.4391,No,No,2,94,3.6
482,-96.362,42.4375,No,No,2,129,3.8
483,-96.3596,42.4764,No,No,2,178,3.8
484,-96.4048,42.4985,No,No,1,97,3.7
485,-96.378049,42.495534,No,No,1,161,3.9
486,-96.3755,42.4876,No,No,1,122,3.7
487,-96.4063904,42.4930681,No,No,1,195,3.8
488,-96.418,42.5212,No,No,3,146,3.7
489,-96.3691,42.4351,No,No,1,117,3.7
490,-96.3959487,42.4944454,No,No,2,187,3.8
491,-96.349464,42.440592,No,No,3,239,3.9
492,-96.4136,42.5011,No,No,1,303,4.0
493,-96.4204,42.5106,No,No,3,280,4.0
494,-96.4019631,42.4949153,No,No,2,271,4.0
495,-96.4092028,42.485608,No,No,4,58,3.5
496,-82.762624,27.96076,No,No,2,1321,4.6
497,-82.636924,27.770026,No,No,2,1629,4.6
498,-82.6329663,27.7737426,No,No,2,921,4.1
499,-82.6333294,27.7711464,No,No,2,986,4.1
500,-82.632174,27.775462,No,No,2,1020,4.1
501,-82.482962,27.931516,No,No,4,3157,4.7
502,-82.46887,27.941942,No,No,3,665,3.9
503,-82.469306,27.944244,No,No,4,373,3.9
504,-82.4852372,27.9410382,No,No,2,1007,4.4
505,-82.483124,27.935039,No,No,2,803,4.4
506,-82.843253,27.848357,No,No,3,1363,4.2
507,-82.673621,27.792047,No,No,1,1424,4.9
508,-82.820856,27.816086,No,No,3,844,4.5
509,-82.41294,28.082909,No,No,3,1413,4.9
510,-82.638843,27.816848,No,No,3,1203,4.5
511,-82.4932815,27.9219315,No,No,3,3074,4.7
512,-82.451041,27.993645,No,No,3,1715,4.8
513,-82.449897,27.995964,No,No,1,1868,4.5
514,-82.459339,27.99384,No,No,3,875,4.0
515,-82.4351499,27.959884,No,No,3,1746,4.4
516,138.966064,-34.519619,No,No,3,339,4.4
517,144.41272,-37.396942,No,No,2,87,4.1
518,-83.319123,30.846819,No,No,2,98,3.4
519,-83.3247,30.8426,No,No,2,83,3.1
520,-83.2799,30.8332,No,No,3,231,3.9
521,-83.3170843,30.8164364,No,No,3,216,3.7
522,-83.318554,30.841892,No,No,3,185,3.8
523,-83.279,30.8308,No,No,2,185,3.7
524,-83.2792,30.8308,No,No,1,281,3.8
525,-83.3085736,30.8223548,No,No,3,137,3.7
526,-83.316402,30.824691,No,No,2,209,3.7
527,-83.28078,30.850888,No,No,1,168,3.7
528,-83.29633,30.880146,No,No,2,243,3.9
529,-83.2851,30.8433,No,No,3,221,3.8
530,-83.281,30.8465,No,No,1,46,3.5
531,-83.310343,30.846763,No,No,2,262,3.9
532,-83.3283,30.8971,No,No,2,183,3.7
533,-83.318958,30.841547,No,No,4,208,3.5
534,-83.289338,30.87114,No,No,2,245,3.8
535,-83.2868,30.868,No,No,2,199,3.8
536,-83.2796,30.8316,No,No,3,225,3.8
537,-83.332796,30.897087,No,No,2,575,4.1
538,-123.1954368,45.858667,No,No,1,88,4.3
539,138.624316,-35.5536609,No,No,2,96,3.6
540,-79.3791465,43.1868697,No,No,4,204,4.3
541,-92.456343,42.516908,No,No,1,18,3.2
542,-92.4507,42.5464,No,No,2,134,3.7
543,-92.4599,42.5377,No,No,1,190,3.9
544,-92.4322,42.5133,No,No,1,136,3.8
545,-92.432177,42.512646,No,No,2,113,3.7
